[27Nov2024 19:29:17.777] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 43.4.2, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[27Nov2024 19:29:17.781] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 21.0.4 by Microsoft; OS Linux arch amd64 version 6.5.0-1025-azure
[27Nov2024 19:29:18.062] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Zombies-server/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2363!/ Service=ModLauncher Env=SERVER
[27Nov2024 19:29:18.415] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.19.2-43.4.2/fmlcore-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.416] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.19.2-43.4.2/javafmllanguage-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.418] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.19.2-43.4.2/lowcodelanguage-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.419] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.19.2-43.4.2/mclanguage-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.575] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 2 dependencies adding them to mods collection
[27Nov2024 19:29:20.397] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[27Nov2024 19:29:20.472] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments []
[27Nov2024 19:29:20.517] [main/WARN] [mixin/]: Reference map 'ambientsounds.mixins.refmap.json' for ambientsounds.mixins.json could not be read. If this is a development environment you can ignore this message
[27Nov2024 19:29:25.673] [main/INFO] [net.minecraft.util.datafix.DataFixers/]: Building unoptimized datafixer
[27Nov2024 19:29:27.873] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id architectury:sync_ids
[27Nov2024 19:29:27.874] [modloading-worker-0/INFO] [realmayus.aquatictorches.AquaticTorches/]: Aquatic Torches loaded.
[27Nov2024 19:29:27.906] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 43.4.2, for MC 1.19.2 with MCP 20220805.130853
[27Nov2024 19:29:27.907] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v43.4.2 Initialized
[27Nov2024 19:29:27.955] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Zombies-server/servidor_minecraft/config/appleskin-client.toml is not correct. Correcting
[27Nov2024 19:29:27.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key client was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.918] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.player.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.919] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.fishing_bobber was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.919] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.fishing_bobber.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.919] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.fishing_bobber.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.920] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.fishing_bobber.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.920] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.fishing_bobber.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.921] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.fishing_bobber.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.935] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.935] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.projectile was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.936] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.projectile.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.936] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.projectile.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.936] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.projectile.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.936] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.projectile.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.936] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.projectile.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.936] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.grenade was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.grenade.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.grenade.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.grenade.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.grenade.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.grenade.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.missile was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.missile.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.missile.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.937] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.missile.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.missile.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.missile.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_grenade was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_grenade.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_grenade.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_grenade.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_grenade.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.938] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_grenade.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.939] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_stun_grenade was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.939] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_stun_grenade.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.940] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_stun_grenade.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.940] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_stun_grenade.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.940] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_stun_grenade.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.940] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key cgm.throwable_stun_grenade.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.956] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.956] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.armored_raider was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.956] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.armored_raider.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.956] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.armored_raider.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.armored_raider.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.armored_raider.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.armored_raider.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raiderdestroyer was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raiderdestroyer.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raiderdestroyer.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raiderdestroyer.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raiderdestroyer.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raiderdestroyer.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raidermaster was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.958] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raidermaster.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raidermaster.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raidermaster.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raidermaster.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raidermaster.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_leader was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_leader.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_leader.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.959] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_leader.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_leader.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_leader.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.experienced_raider was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.experienced_raider.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.experienced_raider.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.experienced_raider.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.experienced_raider.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.960] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.experienced_raider.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.veteran_raider was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.veteran_raider.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.veteran_raider.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.veteran_raider.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.veteran_raider.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.veteran_raider.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_woman was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.961] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_woman.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.962] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_woman.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.962] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_woman.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.962] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_woman.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.962] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.raider_woman.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.963] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_ed was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.963] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_ed.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.963] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_ed.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.963] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_ed.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.963] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_ed.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.963] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_ed.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.power_armor_frame was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.power_armor_frame.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.power_armor_frame.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.power_armor_frame.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.power_armor_frame.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.power_armor_frame.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.companion was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.964] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.companion.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.companion.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.companion.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.companion.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.companion.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.exploder was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.exploder.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.exploder.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.exploder.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.965] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.exploder.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.966] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.exploder.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.966] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_frag_grenade was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.966] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_frag_grenade.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.966] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_frag_grenade.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.966] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_frag_grenade.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.966] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_frag_grenade.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.967] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.projectile_frag_grenade.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.967] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key fallout_inspired_power_armor.mutant was corrected from null to its default, SimpleCommentedConfig:{}. 
